Date,Adj Close
26/03/2018,30.450001
27/03/2018,29.9
28/03/2018,30.98
29/03/2018,31.25
2/04/2018,30.01
3/04/2018,31.59
4/04/2018,30.85
5/04/2018,30.535
6/04/2018,30.24
9/04/2018,30.139999
10/04/2018,31.23
11/04/2018,32.32
12/04/2018,33.27
13/04/2018,30
16/04/2018,29.02
17/04/2018,29.83
18/04/2018,30.559999
19/04/2018,29.9
20/04/2018,28.92
23/04/2018,29.110001
24/04/2018,28.940001
25/04/2018,28.639999
26/04/2018,29.33
27/04/2018,29.610001
30/04/2018,30.110001
1/05/2018,30.9
2/05/2018,31.01
3/05/2018,30.190001
4/05/2018,29.129999
7/05/2018,29.41
8/05/2018,30.23
9/05/2018,31.4
10/05/2018,32
11/05/2018,31.280001
14/05/2018,29.959999
15/05/2018,29.549999
16/05/2018,30.74
17/05/2018,30.549999
18/05/2018,30.200001
21/05/2018,30.09
22/05/2018,30.09
23/05/2018,29.74
24/05/2018,30.200001
25/05/2018,29.969999
29/05/2018,29.780001
30/05/2018,30.469999
31/05/2018,29.99
1/06/2018,29.65
4/06/2018,29.98
5/06/2018,30.889999
6/06/2018,31.23
7/06/2018,30.27
8/06/2018,29.959999
11/06/2018,30.1
12/06/2018,30.83
13/06/2018,31.67
14/06/2018,36.119999
15/06/2018,39.599998
18/06/2018,42
19/06/2018,39.700001
20/06/2018,37.299999
21/06/2018,35.689999
22/06/2018,33.720001
25/06/2018,32.52
26/06/2018,32.77
27/06/2018,31.219999
28/06/2018,33.400002
29/06/2018,32.419998
2/07/2018,32.799999
3/07/2018,32
5/07/2018,31.459999
6/07/2018,31.360001
9/07/2018,31.780001
10/07/2018,31.280001
11/07/2018,30.940001
12/07/2018,32.419998
13/07/2018,32.169998
16/07/2018,32.27
17/07/2018,31.65
18/07/2018,31.24
19/07/2018,31.299999
20/07/2018,31
23/07/2018,31.799999
24/07/2018,30.75
25/07/2018,31.309999
26/07/2018,30.709999
27/07/2018,30.030001
30/07/2018,27.77
31/07/2018,26.77
1/08/2018,27.809999
2/08/2018,29.809999
3/08/2018,29.969999
6/08/2018,30.280001
7/08/2018,31.52
8/08/2018,31.549999
9/08/2018,34.43
10/08/2018,31.049999
13/08/2018,29.16
14/08/2018,28.969999
15/08/2018,28.969999
16/08/2018,28.23
17/08/2018,27.51
20/08/2018,27.620001
21/08/2018,28.27
22/08/2018,28.08
23/08/2018,28.34
24/08/2018,27.030001
27/08/2018,27.379999
28/08/2018,27.16
29/08/2018,27.01
30/08/2018,26.700001
31/08/2018,26.85
4/09/2018,26.959999
5/09/2018,26.6
6/09/2018,25.74
7/09/2018,26.76
10/09/2018,26.879999
11/09/2018,26.969999
12/09/2018,26.139999
13/09/2018,25.73
14/09/2018,26.08
17/09/2018,26.200001
18/09/2018,26.360001
19/09/2018,25.66
20/09/2018,26.5
21/09/2018,26.360001
24/09/2018,26.33
25/09/2018,27.139999
26/09/2018,27.110001
27/09/2018,27.049999
28/09/2018,26.83
1/10/2018,26.219999
2/10/2018,26.32
3/10/2018,26.25
4/10/2018,24.540001
5/10/2018,24.07
8/10/2018,22.85
9/10/2018,22.75
10/10/2018,22.780001
11/10/2018,22.870001
12/10/2018,23.92
15/10/2018,23.969999
16/10/2018,24.9
17/10/2018,24.860001
18/10/2018,24.190001
19/10/2018,23.379999
22/10/2018,23.42
23/10/2018,23.360001
24/10/2018,21.99
25/10/2018,22.35
26/10/2018,21.709999
29/10/2018,22.01
30/10/2018,22.799999
31/10/2018,23.469999
1/11/2018,23.719999
2/11/2018,24.030001
5/11/2018,24.059999
6/11/2018,24.049999
7/11/2018,25.01
8/11/2018,24.74
9/11/2018,25.549999
12/11/2018,24.34
13/11/2018,23.67
14/11/2018,23.559999
15/11/2018,24.6
16/11/2018,23.27
19/11/2018,21.549999
20/11/2018,21.450001
21/11/2018,21.75
23/11/2018,22.35
26/11/2018,23.66
27/11/2018,23.040001
28/11/2018,24.190001
29/11/2018,24.459999
30/11/2018,23.389999
3/12/2018,23.77
4/12/2018,22.42
6/12/2018,22.42
7/12/2018,21.51
10/12/2018,22.01
11/12/2018,22.57
12/12/2018,22.809999
13/12/2018,23.190001
14/12/2018,22.6
17/12/2018,21.76
18/12/2018,21.459999
19/12/2018,21.559999
20/12/2018,20.370001
21/12/2018,19.379999
24/12/2018,19.75
26/12/2018,20.76
27/12/2018,20.870001
28/12/2018,20.790001
31/12/2018,20.43
2/01/2019,20.67
3/01/2019,20.09
4/01/2019,21.280001
7/01/2019,21.76
8/01/2019,22.07
9/01/2019,22.299999
10/01/2019,22.49
11/01/2019,22.389999
14/01/2019,22.01
15/01/2019,22.58
16/01/2019,22.48
17/01/2019,22.6
18/01/2019,23.59
22/01/2019,22.9
23/01/2019,23.309999
24/01/2019,23.389999
25/01/2019,23.9
28/01/2019,24.139999
29/01/2019,23.24
30/01/2019,23.93
31/01/2019,24.709999
1/02/2019,24.24
4/02/2019,24.57
5/02/2019,25.200001
6/02/2019,25.24
7/02/2019,24.790001
8/02/2019,25.42
11/02/2019,25.15
12/02/2019,25.43
13/02/2019,25.450001
14/02/2019,25.780001
15/02/2019,25.540001
19/02/2019,25.99
20/02/2019,25.49
21/02/2019,25.59
22/02/2019,23.450001
25/02/2019,23.59
26/02/2019,24.34
27/02/2019,24.24
28/02/2019,23.860001
1/03/2019,23.889999
4/03/2019,23.860001
5/03/2019,23.540001
6/03/2019,22.629999
7/03/2019,22.51
8/03/2019,22.23
11/03/2019,22.639999
12/03/2019,23.110001
13/03/2019,22.59
14/03/2019,22.129999
15/03/2019,22.309999
18/03/2019,22.16
19/03/2019,22.32
20/03/2019,22.1
21/03/2019,22.66
22/03/2019,21.719999
25/03/2019,21.83
26/03/2019,21.959999
27/03/2019,21.42
28/03/2019,21.5
29/03/2019,21.799999
1/04/2019,21.57
2/04/2019,22.129999
3/04/2019,22.280001
4/04/2019,21.9
5/04/2019,21.950001
8/04/2019,22.139999
9/04/2019,21.940001
10/04/2019,22.280001
11/04/2019,22.08
12/04/2019,22.34
15/04/2019,22.15
16/04/2019,21.799999
17/04/2019,21.15
18/04/2019,21.25
22/04/2019,23.16
23/04/2019,23.33
24/04/2019,23.4
25/04/2019,23.65
26/04/2019,24.35
29/04/2019,24.41
30/04/2019,24.379999
